,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
con_G15,con_G15,sample,NA,4169|4504,4|5,TRUE,4169|4504,4|5,La Seca,NA,NA,NA,NA,NA,8673,8,Control_G15,6/14/21,2021,9:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,564,695,,NA,Y,NA,NA,NA,34.8,Outgoing,23.62,Seine Net,,,,,None,6/15/21,4:00 PM,Y,6/16/21,6/19/21,"Was left in green cooler with no ice for a few hours; DNA extraction tube named ""control outside rub""",NA,NA,NA,NA,NA,NA,NA
con_G31,con_G31,sample,NA,14394|15677,8,TRUE,14393|15676,7,La Seca,NA,NA,NA,NA,NA,30069,10,Control G31,6/15/21,2021,9:51,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,555,698,,NA,Y,NA,NA,NA,34.91,,24.65,Seine Net,GW12,,S31, ,None,6/15/21,4:00 PM,Y,6/16/21,6/19/21,,NA,NA,NA,NA,NA,NA,NA
con_G43,con_G43,sample,NA, 3620|36983,5|8,TRUE, 3620|36983,5|8,Rosa Blanca 1,NA,NA,NA,NA,NA,40603,10,Control G43,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,554,686,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S43,,None,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G001,G001,sample,NA, 4513|20147,20|29,TRUE, 4513|20145,20|28,Rosa Blanca 1,NA,NA,NA,NA,NA,24658,32,G1,6/12/21,2021,6:58,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,545,694,,NA,Y,NA,NA,NA,NA,Incoming,NA,Seine Net,"GW1, GW2, GW3, GW4",merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2,S1,, ,6/13/21,6:00 PM,N,,6/13/21,Used 96% ethanol from marine ecology lab,NA,NA,NA,NA,NA,NA,NA
G002,G002,sample,NA,13660|14957, 9|10,TRUE,13660|14957, 9|10,Rosa Blanca 1,NA,NA,NA,NA,NA,28617,11,G2,6/12/21,2021,6:58,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,525,660,,NA,Y,NA,NA,NA,NA,Incoming,NA,Seine Net,"GW1, GW2, GW3, GW4",merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2,S2,, ,6/13/21,6:00 PM,N,,6/13/21,Used 96% ethanol from marine ecology lab,NA,NA,NA,NA,NA,NA,NA
G003,G003,sample,NA, 5946|31124,10|15,TRUE, 5945|31123, 9|14,Rosa Blanca 1,NA,NA,NA,NA,NA,37068,14,G3,6/12/21,2021,6:58,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,555,710,,NA,Y,NA,NA,NA,NA,Incoming,NA,Seine Net,"GW1, GW2, GW3, GW4",merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2,S3,, ,6/13/21,6:00 PM,N,,6/13/21,Used 96% ethanol from marine ecology lab,NA,NA,NA,NA,NA,NA,NA
G004,G004,sample,NA, 4899|11514,18|21,TRUE, 4899|11513,18|20,Rosa Blanca 1,NA,NA,NA,NA,NA,16412,26,G4,6/12/21,2021,6:58,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,537,683,,NA,Y,NA,NA,NA,NA,Incoming,NA,Seine Net,"GW1, GW2, GW3, GW4",merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2,S4,, ,6/13/21,6:00 PM,N,,6/13/21,Partial liquid evaporation after step 2 incubation; Used 96% ethanol from marine ecology lab,NA,NA,NA,NA,NA,NA,NA
G005,G005,sample,NA,7506|9606,10|11,TRUE,7505|9601, 7|10,Rosa Blanca 1,NA,NA,NA,NA,NA,17106,13,G5,6/12/21,2021,9:00,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,571,714,,NA,Y,NA,NA,NA,NA,Incoming,NA,Gill Net,"GW1, GW2, GW3, GW4",merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2,S5,Haley took this swab and I'm not sure if she went past the sphincter,None,6/13/21,6:00 PM,N,,6/13/21,All liquid evaporated after step 2 so I added 325ul of water to rehydrate; Used 96% ethanol from marine ecology lab,NA,NA,NA,NA,NA,NA,NA
G006,G006,sample,NA,10623|14210,20|22,TRUE,10621|14209,19|21,Puerto Grande,NA,NA,NA,NA,NA,24830,23,G6,6/14/21,2021,6:29,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,550,640,,NA,Y,NA,NA,NA,34.85,Outgoing,23.29,Gill Net,,merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2,S6,,Medium,6/15/21,4:00 PM,Y,6/16/21,6/18/21,,NA,NA,NA,NA,NA,NA,NA
G007,G007,sample,NA,10957|23683,10,TRUE,1061|6046,8,Puerto Grande,NA,NA,NA,NA,NA,7107,11,G7,6/14/21,2021,6:29,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,590,730,,NA,Y,NA,NA,NA,34.85,Outgoing,23.29,Gill Net,,merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2,S7,,Alot,6/15/21,4:00 PM,Y,6/16/21,6/18/21,,NA,NA,NA,NA,NA,NA,NA
